age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,0,2143,1,0,unknown,may,261,1,0,0,unknown,0
44,technician,single,secondary,0,29,1,0,unknown,may,151,1,0,0,unknown,0
33,entrepreneur,married,secondary,0,2,1,1,unknown,may,76,1,0,0,unknown,0
47,blue-collar,married,unknown,0,1506,1,0,unknown,may,92,1,0,0,unknown,0
33,unknown,single,unknown,0,1,0,0,unknown,may,198,1,0,0,unknown,0
35,management,married,tertiary,0,231,1,0,unknown,may,139,1,0,0,unknown,0
28,management,single,tertiary,0,447,1,1,unknown,may,217,1,0,0,unknown,0
42,entrepreneur,divorced,tertiary,1,2,1,0,unknown,may,380,1,0,0,unknown,0
58,retired,married,primary,0,121,1,0,unknown,may,50,1,0,0,unknown,0
43,technician,single,secondary,0,593,1,0,unknown,may,55,1,0,0,unknown,0
41,admin.,divorced,secondary,0,270,1,0,unknown,may,222,1,0,0,unknown,0
29,admin.,single,secondary,0,390,1,0,unknown,may,137,1,0,0,unknown,0
53,technician,married,secondary,0,6,1,0,unknown,may,517,1,0,0,unknown,0
58,technician,married,unknown,0,71,1,0,unknown,may,71,1,0,0,unknown,0
57,services,married,secondary,0,162,1,0,unknown,may,174,1,0,0,unknown,0
51,retired,married,primary,0,229,1,0,unknown,may,353,1,0,0,unknown,0
45,admin.,single,unknown,0,13,1,0,unknown,may,98,1,0,0,unknown,0
57,blue-collar,married,primary,0,52,1,0,unknown,may,38,1,0,0,unknown,0
60,retired,married,primary,0,60,1,0,unknown,may,219,1,0,0,unknown,0
33,services,married,secondary,0,0,1,0,unknown,may,54,1,0,0,unknown,0
28,blue-collar,married,secondary,0,723,1,1,unknown,may,262,1,0,0,unknown,0
56,management,married,tertiary,0,779,1,0,unknown,may,164,1,0,0,unknown,0
32,blue-collar,single,primary,0,23,1,1,unknown,may,160,1,0,0,unknown,0
25,services,married,secondary,0,50,1,0,unknown,may,342,1,0,0,unknown,0
40,retired,married,primary,0,0,1,1,unknown,may,181,1,0,0,unknown,0
44,admin.,married,secondary,0,-372,1,0,unknown,may,172,1,0,0,unknown,0
39,management,single,tertiary,0,255,1,0,unknown,may,296,1,0,0,unknown,0
52,entrepreneur,married,secondary,0,113,1,1,unknown,may,127,1,0,0,unknown,0
46,management,single,secondary,0,-246,1,0,unknown,may,255,2,0,0,unknown,0
36,technician,single,secondary,0,265,1,1,unknown,may,348,1,0,0,unknown,0
57,technician,married,secondary,0,839,0,1,unknown,may,225,1,0,0,unknown,0
49,management,married,tertiary,0,378,1,0,unknown,may,230,1,0,0,unknown,0
60,admin.,married,secondary,0,39,1,1,unknown,may,208,1,0,0,unknown,0
59,blue-collar,married,secondary,0,0,1,0,unknown,may,226,1,0,0,unknown,0
51,management,married,tertiary,0,10635,1,0,unknown,may,336,1,0,0,unknown,0
57,technician,divorced,secondary,0,63,1,0,unknown,may,242,1,0,0,unknown,0
25,blue-collar,married,secondary,0,-7,1,0,unknown,may,365,1,0,0,unknown,0
53,technician,married,secondary,0,-3,0,0,unknown,may,1666,1,0,0,unknown,0
36,admin.,divorced,secondary,0,506,1,0,unknown,may,577,1,0,0,unknown,0
37,admin.,single,secondary,0,0,1,0,unknown,may,137,1,0,0,unknown,0
44,services,divorced,secondary,0,2586,1,0,unknown,may,160,1,0,0,unknown,0
50,management,married,secondary,0,49,1,0,unknown,may,180,2,0,0,unknown,0
60,blue-collar,married,unknown,0,104,1,0,unknown,may,22,1,0,0,unknown,0
54,retired,married,secondary,0,529,1,0,unknown,may,1492,1,0,0,unknown,0
58,retired,married,unknown,0,96,1,0,unknown,may,616,1,0,0,unknown,0
36,admin.,single,primary,0,-171,1,0,unknown,may,242,1,0,0,unknown,0
58,self-employed,married,tertiary,0,-364,1,0,unknown,may,355,1,0,0,unknown,0
44,technician,married,secondary,0,0,1,0,unknown,may,225,2,0,0,unknown,0
55,technician,divorced,secondary,0,0,0,0,unknown,may,160,1,0,0,unknown,0
29,management,single,tertiary,0,0,1,0,unknown,may,363,1,0,0,unknown,0
54,blue-collar,married,secondary,0,1291,1,0,unknown,may,266,1,0,0,unknown,0
48,management,divorced,tertiary,0,-244,1,0,unknown,may,253,1,0,0,unknown,0
32,management,married,tertiary,0,0,1,0,unknown,may,179,1,0,0,unknown,0
42,admin.,single,secondary,0,-76,1,0,unknown,may,787,1,0,0,unknown,0
24,technician,single,secondary,0,-103,1,1,unknown,may,145,1,0,0,unknown,0
38,entrepreneur,single,tertiary,0,243,0,1,unknown,may,174,1,0,0,unknown,0
38,management,single,tertiary,0,424,1,0,unknown,may,104,1,0,0,unknown,0
47,blue-collar,married,unknown,0,306,1,0,unknown,may,13,1,0,0,unknown,0
40,blue-collar,single,unknown,0,24,1,0,unknown,may,185,1,0,0,unknown,0
46,services,married,primary,0,179,1,0,unknown,may,1778,1,0,0,unknown,0
32,admin.,married,tertiary,0,0,1,0,unknown,may,138,1,0,0,unknown,0
53,technician,divorced,secondary,0,989,1,0,unknown,may,812,1,0,0,unknown,0
57,blue-collar,married,primary,0,249,1,0,unknown,may,164,1,0,0,unknown,0
33,services,married,secondary,0,790,1,0,unknown,may,391,1,0,0,unknown,0
49,blue-collar,married,unknown,0,154,1,0,unknown,may,357,1,0,0,unknown,0
51,management,married,tertiary,0,6530,1,0,unknown,may,91,1,0,0,unknown,0
60,retired,married,tertiary,0,100,0,0,unknown,may,528,1,0,0,unknown,0
59,management,divorced,tertiary,0,59,1,0,unknown,may,273,1,0,0,unknown,0
55,technician,married,secondary,0,1205,1,0,unknown,may,158,2,0,0,unknown,0
35,blue-collar,single,secondary,0,12223,1,1,unknown,may,177,1,0,0,unknown,0
57,blue-collar,married,secondary,0,5935,1,1,unknown,may,258,1,0,0,unknown,0
31,services,married,secondary,0,25,1,1,unknown,may,172,1,0,0,unknown,0
54,management,married,secondary,0,282,1,1,unknown,may,154,1,0,0,unknown,0
55,blue-collar,married,primary,0,23,1,0,unknown,may,291,1,0,0,unknown,0
43,technician,married,secondary,0,1937,1,0,unknown,may,181,1,0,0,unknown,0
53,technician,married,secondary,0,384,1,0,unknown,may,176,1,0,0,unknown,0
44,blue-collar,married,secondary,0,582,0,1,unknown,may,211,1,0,0,unknown,0
55,services,divorced,secondary,0,91,0,0,unknown,may,349,1,0,0,unknown,0
49,services,divorced,secondary,0,0,1,1,unknown,may,272,1,0,0,unknown,0
55,services,divorced,secondary,1,1,1,0,unknown,may,208,1,0,0,unknown,0
45,admin.,single,secondary,0,206,1,0,unknown,may,193,1,0,0,unknown,0
47,services,divorced,secondary,0,164,0,0,unknown,may,212,1,0,0,unknown,0
42,technician,single,secondary,0,690,1,0,unknown,may,20,1,0,0,unknown,0
59,admin.,married,secondary,0,2343,1,0,unknown,may,1042,1,0,0,unknown,1
46,self-employed,married,tertiary,0,137,1,1,unknown,may,246,1,0,0,unknown,0
51,blue-collar,married,primary,0,173,1,0,unknown,may,529,2,0,0,unknown,0
56,admin.,married,secondary,0,45,0,0,unknown,may,1467,1,0,0,unknown,1
41,technician,married,secondary,0,1270,1,0,unknown,may,1389,1,0,0,unknown,1
46,management,divorced,secondary,0,16,1,1,unknown,may,188,2,0,0,unknown,0
57,retired,married,secondary,0,486,1,0,unknown,may,180,2,0,0,unknown,0
42,management,single,secondary,0,50,0,0,unknown,may,48,1,0,0,unknown,0
30,technician,married,secondary,0,152,1,1,unknown,may,213,2,0,0,unknown,0
60,admin.,married,secondary,0,290,1,0,unknown,may,583,1,0,0,unknown,0
60,blue-collar,married,unknown,0,54,1,0,unknown,may,221,1,0,0,unknown,0
57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,may,173,1,0,0,unknown,0
36,management,married,tertiary,0,101,1,1,unknown,may,426,1,0,0,unknown,0
55,blue-collar,married,secondary,0,383,0,0,unknown,may,287,1,0,0,unknown,0
60,retired,married,tertiary,0,81,1,0,unknown,may,101,1,0,0,unknown,0
39,technician,married,secondary,0,0,1,0,unknown,may,203,1,0,0,unknown,0
46,management,married,tertiary,0,229,1,0,unknown,may,197,1,0,0,unknown,0
44,blue-collar,married,secondary,0,-674,1,0,unknown,may,257,1,0,0,unknown,0
53,blue-collar,married,primary,0,90,0,0,unknown,may,124,1,0,0,unknown,0
52,blue-collar,married,primary,0,128,1,0,unknown,may,229,1,0,0,unknown,0
59,blue-collar,married,primary,0,179,1,0,unknown,may,55,3,0,0,unknown,0
27,technician,single,tertiary,0,0,1,0,unknown,may,400,1,0,0,unknown,0
44,blue-collar,married,secondary,0,54,1,0,unknown,may,197,1,0,0,unknown,0
47,technician,married,tertiary,0,151,1,0,unknown,may,190,1,0,0,unknown,0
34,admin.,married,secondary,0,61,0,1,unknown,may,21,1,0,0,unknown,0
59,retired,single,secondary,0,30,1,0,unknown,may,514,1,0,0,unknown,0
45,management,married,tertiary,0,523,1,0,unknown,may,849,2,0,0,unknown,0
29,services,divorced,secondary,0,31,1,0,unknown,may,194,1,0,0,unknown,0
46,technician,divorced,secondary,0,79,0,0,unknown,may,144,1,0,0,unknown,0
56,self-employed,married,primary,0,-34,1,1,unknown,may,212,2,0,0,unknown,0
36,blue-collar,married,primary,0,448,1,0,unknown,may,286,1,0,0,unknown,0
59,retired,divorced,primary,0,81,1,0,unknown,may,107,1,0,0,unknown,0
44,blue-collar,married,secondary,0,144,1,0,unknown,may,247,2,0,0,unknown,0
41,admin.,married,secondary,0,351,1,0,unknown,may,518,1,0,0,unknown,0
33,management,single,tertiary,0,-67,1,0,unknown,may,364,1,0,0,unknown,0
59,management,divorced,tertiary,0,262,0,0,unknown,may,178,1,0,0,unknown,0
57,technician,married,primary,0,0,0,0,unknown,may,98,1,0,0,unknown,0
56,technician,divorced,unknown,0,56,1,0,unknown,may,439,1,0,0,unknown,0
51,blue-collar,married,secondary,0,26,1,0,unknown,may,79,1,0,0,unknown,0
34,admin.,married,unknown,0,3,1,0,unknown,may,120,3,0,0,unknown,0
43,services,married,secondary,0,41,1,1,unknown,may,127,2,0,0,unknown,0
52,technician,married,tertiary,0,7,0,1,unknown,may,175,1,0,0,unknown,0
33,technician,single,secondary,0,105,1,0,unknown,may,262,2,0,0,unknown,0
29,admin.,single,secondary,0,818,1,1,unknown,may,61,1,0,0,unknown,0
34,services,married,secondary,0,-16,1,1,unknown,may,78,1,0,0,unknown,0
31,blue-collar,married,secondary,0,0,1,0,unknown,may,143,1,0,0,unknown,0
55,services,married,secondary,0,2476,1,0,unknown,may,579,1,0,0,unknown,1
55,management,married,unknown,0,1185,0,0,unknown,may,677,1,0,0,unknown,0
32,admin.,single,secondary,0,217,1,0,unknown,may,345,1,0,0,unknown,0
38,technician,single,secondary,0,1685,1,0,unknown,may,185,1,0,0,unknown,0
55,admin.,single,secondary,0,802,1,1,unknown,may,100,2,0,0,unknown,0
